#T	R	G	B
0.22	0.883322138983276	1.0071428224875771	1.2728139419534679
0.23	0.8808024386769331	1.0073538357863376	1.2781431881287424
0.24	0.8784121175310861	1.007552295810319	1.2832158150879653
0.25	0.8761418163097041	1.0077392387767685	1.2880491174433788
0.26	0.8739830410872986	1.0079155929882893	1.2926589107980049
0.27	0.8719280664843406	1.0080821922743015	1.2970596835297616
0.28	0.869969851535366	1.0082397874974418	1.3012647305458562
0.29	0.8681019663112582	1.0083890564393068	1.3052862714242968
0.3	0.8663185277296722	1.0085306123233055	1.309135555000604
0.31	0.8646141432426835	1.0086650111868847	1.312822952157141
0.32	0.862983861300016	1.0087927582787013	1.3163580383197988
0.33	0.8614231276586181	1.0089143136265577	1.3197496669537914
0.34	0.8599277467519808	1.009030096897696	1.323006035170313
0.35	0.858493847451072	1.0091404916532272	1.326134742403241
0.36	0.8571178526475216	1.0092458490821987	1.3291428429854368
0.37	0.8557964521723616	1.0093464912873833	1.3320368933437596
0.38	0.8545265786330154	1.0094427141837639	1.3348229944375753
0.39	0.8533053858097155	1.0095347900614544	1.3375068299847968
0.4	0.852130229301952	1.0096229698571055	1.3400937009501814
0.41	0.8509986491574617	1.0097074851714045	1.3425885567110116
0.42	0.8499083542518966	1.0097885500648696	1.344996023263877
0.43	0.8488572082177129	1.009866362659591	1.3473204287918932
0.44	0.8478432167467959	1.0099411065707269	1.3495658268732313
0.45	0.8468645161136316	1.0100129521883032	1.3517360175784954
0.46	0.8459193627849845	1.0100820578271024	1.3538345666754676
0.47	0.8450061239985497	1.010148570760064	1.3558648231344945
0.48	0.8441232692073113	1.0102126281486177	1.3578299351057375
0.49	0.8432693622986797	1.010274357881628	1.3597328645202262
0.5	0.8424430545082009	1.0103338793331686	1.3615764004497795
0.51	0.8416430779569443	1.0103913040480574	1.3633631713460252
0.52	0.8408682397497959	1.0104467363629863	1.3650956562657304
0.53	0.8401174165789815	1.0105002739701394	1.3667761951781834
0.54	0.8393895497833386	1.0105520084293573	1.3684069984402454
0.55	0.838683640819305	1.0106020256341983	1.369990155515751
0.56	0.8379987471043647	1.010650406236622	1.371527643008034
0.57	0.837333978197899	1.0106972260344862	1.3730213320673414
0.58	0.8366884922880911	1.0107425563255619	1.3744729952286716
0.59	0.8360614929568093	1.0107864642313649	1.3758843127300586
0.6	0.8354522261972888	1.010829012993743	1.3772568783563899
0.61	0.8348599776619867	1.0108702622468266	1.3785922048494628
0.62	0.83428407012027	1.0109102682666795	1.3798917289210715
0.63	0.8337238611076123	1.010949084200737	1.3811568159024186
0.64	0.8331787407497706	1.010986760278896	1.3823887640600048
0.65	0.8326481297470247	1.0110233440079355	1.3835888086053594
0.66	0.832131477504984	1.011058880350766	1.384758125423443
0.67	0.8316282603997506	1.011093411891861	1.3858978345422994
0.68	0.8311379801663717	1.0111269789900896	1.387009003364506
0.69	0.8306601624005345	1.0111596199200414	1.3880926496791233
0.7	0.8301943551643868	1.0111913710028375	1.3891497444712175
0.71	0.8297401276881801	1.011222266727319	1.3901812145445187
0.72	0.8292970691601912	1.0112523398624227	1.3911879449714495
0.73	0.8288647875980323	1.0112816215614762	1.3921707813835276
0.74	0.8284429087950756	1.011310141459077	1.393130532114058
0.75	0.828031075336258	1.0113379277611596	1.3940679702040193
0.76	0.8276289456780226	1.0113650073287934	1.3949838352811534
0.77	0.8272361932876051	1.0113914057562186	1.3958788353214377
0.78	0.8268525058372703	1.0114171474435638	1.3967536483013765
0.79	0.8264775844494765	1.0114422556646714	1.3976089237488694
0.8	0.8261111429892685	1.0114667526303929	1.398445284199784
0.81	0.8257529074005145	1.011490659547716	1.3992633265668157
0.82	0.8254026150828628	1.0115139966750242	1.4000636234266786
0.83	0.8250600143065528	1.0115367833737872	1.4008467242312208
0.84	0.8247248636624428	1.011559038156944	1.401613156447622
0.85	0.8243969315448153	1.0115807787342157	1.4023634266324247
0.86	0.824075995664722	1.0116020220545812	1.403098021443818
0.87	0.8237618425917943	1.0116227843461083	1.40381740859623
0.88	0.8234542673226103	1.0116430811533383	1.4045220377610177
0.89	0.8231530728738459	1.011662927372389	1.4052123414167292
0.9	0.8228580698985793	1.0116823372839396	1.4058887356521932
0.91	0.8225690763242348	1.0117013245842446	1.4065516209254283
0.92	0.8222859170107609	1.0117199024143064	1.407201382781167
0.93	0.822008423427747	1.0117380833873393	1.4078383925295839
0.94	0.82173643334927	1.011755879614633	1.4084630078886344
0.95	0.8214697905653564	1.0117733027299285	1.4090755735922482
0.96	0.8212083446090125	1.0117903639123966	1.4096764219664524
0.97	0.820951950497867	1.011807073908321	1.4102658734753795
0.98	0.8207004684895196	1.0118234430515598	1.410844237238955
0.99	0.8204537638497614	1.0118394812828728	1.4114118115239596
1	0.8202117066328919	1.0118551981681803	1.411968884210037
